date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200312,MO,1,64,null,null,null,65,2020-03-12 20:00:00,65,29,0,0,64,0,64
20200317,AR,22,197,41,null,null,260,2020-03-17 20:00:00,219,5,0,0,65,0,65
20200315,NH,13,271,95,null,null,379,2020-03-15 20:00:00,284,33,0,0,59,6,65
20200312,NC,12,60,null,null,null,72,2020-03-12 20:00:00,72,37,0,0,60,5,65
20200312,VA,17,117,null,null,null,134,2020-03-12 20:00:00,134,51,0,0,57,8,65
20200310,IL,19,244,63,null,null,326,2020-03-10 20:00:00,263,17,0,0,53,12,65
20200309,OR,14,165,52,null,null,231,2020-03-09 20:00:00,179,41,0,0,65,0,65
20200324,OK,106,735,null,25,3,841,2020-03-24 20:00:00,841,40,1,10,41,25,66
20200323,MN,235,4511,null,17,1,4746,2020-03-23 20:00:00,4746,27,0,5,0,66,66
20200319,MO,24,308,null,null,1,332,2020-03-19 20:00:00,332,29,1,0,55,11,66
20200320,PR,14,114,52,null,null,180,2020-03-20 20:00:00,128,72,0,0,58,9,67
20200321,AZ,104,240,122,null,1,466,2020-03-21 20:00:00,344,4,1,0,29,39,68
20200315,LA,91,156,null,null,2,247,2020-03-15 20:00:00,247,22,2,0,47,22,69
20200316,NC,33,296,151,null,0,480,2020-03-16 20:00:00,329,37,0,0,69,1,70
20200312,NM,5,155,null,null,null,160,2020-03-12 20:00:00,160,35,0,0,68,2,70
20200325,MS,377,1566,null,117,2,1943,2020-03-25 20:00:00,1943,28,1,31,14,57,71
20200323,MS,249,1143,null,33,1,1392,2020-03-23 20:00:00,1392,28,0,0,29,42,71
20200315,NJ,98,120,34,null,2,252,2020-03-15 20:00:00,218,34,1,0,23,48,71
20200326,PR,64,377,335,null,2,776,2020-03-26 20:00:00,441,72,0,0,60,13,73
20200325,MD,423,94,null,null,4,517,2020-03-25 20:00:00,517,24,1,0,0,74,74
20200321,AK,14,758,null,0,null,772,2020-03-21 20:00:00,772,2,0,0,72,2,74
20200318,AK,6,406,null,null,null,412,2020-03-18 20:00:00,412,2,0,0,72,3,75
20200329,NE,108,1968,4,null,2,2080,2020-03-29 20:00:00,2076,31,0,0,64,12,76
20200317,VT,10,495,null,null,null,505,2020-03-17 20:00:00,505,50,0,0,74,2,76
20200329,OK,429,1205,null,140,16,1634,2020-03-29 20:00:00,1634,40,1,14,25,52,77
20200320,OK,49,538,374,null,1,961,2020-03-20 20:00:00,587,40,0,0,72,5,77
20200316,VT,8,421,null,null,null,429,2020-03-16 20:00:00,429,50,0,0,73,4,77
20200311,OR,19,286,62,null,null,367,2020-03-11 20:00:00,305,41,0,0,73,4,77
20200321,OH,247,140,null,58,3,387,2020-03-21 20:00:00,387,39,2,58,0,78,78
20200314,PA,47,205,150,null,null,402,2020-03-14 20:00:00,252,42,0,0,65,14,79
20200317,OK,17,247,82,null,null,346,2020-03-17 20:00:00,264,40,0,0,73,7,80
20200316,NJ,178,120,20,null,2,318,2020-03-16 20:00:00,298,34,0,0,0,80,80
20200320,WV,7,219,13,null,0,239,2020-03-20 20:00:00,226,54,0,0,76,5,81
20200317,SC,33,311,null,null,1,344,2020-03-17 20:00:00,344,45,0,0,76,5,81
20200317,TN,73,330,null,null,null,403,2020-03-17 20:00:00,403,47,0,0,60,21,81
20200316,VA,51,438,null,null,1,489,2020-03-16 20:00:00,489,51,0,0,75,6,81
20200314,MI,25,205,26,null,null,256,2020-03-14 20:00:00,230,26,0,0,72,9,81
20200329,WY,86,1554,null,15,0,1640,2020-03-29 20:00:00,1640,56,0,1,79,4,83
20200317,ID,7,346,null,null,null,353,2020-03-17 20:00:00,353,16,0,0,81,2,83
20200310,FL,19,222,155,null,null,396,2020-03-10 20:00:00,241,12,0,0,82,1,83
20200328,MS,663,2560,null,219,13,3223,2020-03-28 20:00:00,3223,28,5,34,0,84,84
20200320,MO,47,369,null,null,1,416,2020-03-20 20:00:00,416,29,0,0,61,23,84
20200314,AK,1,143,null,null,null,144,2020-03-14 20:00:00,144,2,0,0,84,0,84
20200324,AR,218,947,0,22,0,1165,2020-03-24 20:00:00,1165,5,0,9,41,44,85
20200327,AR,381,1545,0,48,3,1926,2020-03-27 20:00:00,1926,5,0,7,41,46,87
20200324,PR,39,268,42,null,2,349,2020-03-24 20:00:00,307,72,0,0,79,8,87
20200322,RI,83,932,216,null,null,1231,2020-03-22 20:00:00,1015,44,0,0,70,17,87
20200319,AR,46,310,113,null,null,469,2020-03-19 20:00:00,356,5,0,0,74,13,87
20200316,MI,53,272,30,null,null,355,2020-03-16 20:00:00,325,26,0,0,67,20,87
20200315,OK,9,118,12,null,null,139,2020-03-15 20:00:00,127,40,0,0,82,5,87
20200314,VT,4,227,null,null,null,231,2020-03-14 20:00:00,231,50,0,0,85,2,87
20200311,MN,5,217,null,null,null,222,2020-03-11 20:00:00,222,27,0,0,85,2,87
20200318,WY,15,178,null,null,null,193,2020-03-18 20:00:00,193,56,0,0,83,5,88
20200317,NH,17,355,195,null,null,567,2020-03-17 20:00:00,372,33,0,0,84,4,88
20200316,NM,17,566,null,null,null,583,2020-03-16 20:00:00,583,35,0,0,84,4,88
20200311,FL,28,301,147,null,2,476,2020-03-11 20:00:00,329,12,2,0,79,9,88
20200319,MS,50,552,null,null,null,602,2020-03-19 20:00:00,602,28,0,0,73,16,89
20200315,OR,36,420,225,null,null,681,2020-03-15 20:00:00,456,41,0,0,83,6,89
20200322,AZ,152,282,87,null,2,521,2020-03-22 20:00:00,434,4,1,0,42,48,90
20200316,SC,28,235,null,null,1,263,2020-03-16 20:00:00,263,45,1,0,81,9,90
20200401,DC,586,3262,2,null,11,3850,2020-04-01 20:00:00,3848,11,2,0,0,91,91
20200323,OH,442,140,null,104,6,582,2020-03-23 20:00:00,582,39,3,21,0,91,91
20200320,AR,96,351,203,null,null,650,2020-03-20 20:00:00,447,5,0,0,41,50,91
20200316,ID,5,265,null,null,null,270,2020-03-16 20:00:00,270,16,0,0,91,0,91
20200316,NE,18,170,null,null,null,188,2020-03-16 20:00:00,188,31,0,0,90,1,91
20200311,PA,15,88,54,null,null,157,2020-03-11 20:00:00,103,42,0,0,88,3,91
20200323,MO,183,369,null,null,3,552,2020-03-23 20:00:00,552,29,0,0,0,93,93
20200312,MN,9,307,null,null,null,316,2020-03-12 20:00:00,316,27,0,0,90,4,94
20200329,MS,758,2560,null,235,14,3318,2020-03-29 20:00:00,3318,28,1,16,0,95,95
20200323,ND,30,1353,null,4,0,1383,2020-03-23 20:00:00,1383,38,0,1,93,2,95
20200316,MT,7,198,0,null,null,205,2020-03-16 20:00:00,205,30,0,0,95,0,95
20200324,AZ,357,313,22,8,5,692,2020-03-24 20:00:00,670,4,3,8,4,92,96
20200324,NH,101,1447,869,11,1,2417,2020-03-24 20:00:00,1548,33,1,11,73,23,96
20200319,WY,18,271,null,null,null,289,2020-03-19 20:00:00,289,56,0,0,93,3,96
20200313,WI,19,169,null,null,null,188,2020-03-13 20:00:00,188,55,0,0,85,11,96
20200318,HI,14,93,12,null,null,119,2020-03-18 20:00:00,107,15,0,0,93,4,97
20200320,CT,194,604,null,null,3,798,2020-03-20 20:00:00,798,9,2,0,0,98,98
20200317,ND,3,220,0,null,0,223,2020-03-17 20:00:00,223,38,0,0,97,2,99
20200315,NC,32,227,151,null,null,410,2020-03-15 20:00:00,259,37,0,0,90,9,99
20200317,MS,21,368,null,null,null,389,2020-03-17 20:00:00,389,28,0,0,91,9,100
20200316,KY,21,234,null,null,1,255,2020-03-16 20:00:00,255,21,1,0,95,5,100
20200324,NC,398,8141,null,null,0,8539,2020-03-24 20:00:00,8539,37,0,0,0,101,101
20200317,WY,10,95,null,null,null,105,2020-03-17 20:00:00,105,56,0,0,95,7,102
20200325,AZ,450,323,53,8,6,826,2020-03-25 20:00:00,773,4,1,0,10,93,103
20200324,DC,137,1195,2,null,2,1334,2020-03-24 20:00:00,1332,11,0,0,82,21,103
